Title,Author,First Published Year,Subjects,Cover Image URL
The Institute,Stephen King,2019,fiction,http://covers.openlibrary.org/b/id/10712767-L.jpg
The Colorado Kid,Stephen King,1978,Crime Mysteries,http://covers.openlibrary.org/b/id/8380883-L.jpg
The Outsider,Stephen King,2018,Murder,http://covers.openlibrary.org/b/id/8315581-L.jpg
Rita Hayworth and Shawshank Redemption,Stephen King,1982,fiction,http://covers.openlibrary.org/b/id/8292373-L.jpg
Storm of the Century,Stephen King,1999,Psychological fiction,http://covers.openlibrary.org/b/id/8401475-L.jpg
Joyland,Stephen King,2011,City and town life,http://covers.openlibrary.org/b/id/9154939-L.jpg
The Bazaar of Bad Dreams,Stephen King,2015,American Horror tales,http://covers.openlibrary.org/b/id/8362335-L.jpg
The Bad Death of Eduard Delacroix,Stephen King,1996,horror fiction,http://covers.openlibrary.org/b/id/8564254-L.jpg
The Bachman Books,Stephen King,1985,Game shows,http://covers.openlibrary.org/b/id/8565607-L.jpg
Billy Summers,Stephen King,2021,New York Times reviewed,http://covers.openlibrary.org/b/id/10696538-L.jpg
The Wind Through the Keyhole,Stephen King,2012,Roland (Fictitious character : King),http://covers.openlibrary.org/b/id/8311399-L.jpg
If It Bleeds,Stephen King,2020,"Fiction, horror",http://covers.openlibrary.org/b/id/9329488-L.jpg
Faithful,Stewart O'Nan,2004,History,http://covers.openlibrary.org/b/id/8288251-L.jpg
Elevation,Stephen King,2018,Castle Rock (Me. : Imaginary place),http://covers.openlibrary.org/b/id/10713306-L.jpg
Coffey on the Mile,Stephen King,1996,serialized fiction,http://covers.openlibrary.org/b/id/8564586-L.jpg
Night Journey,Stephen King,1996,American horror tales,http://covers.openlibrary.org/b/id/9337143-L.jpg
The Two Dead Girls,Stephen King,1995,horror fiction,http://covers.openlibrary.org/b/id/9337285-L.jpg
The Body,Stephen King,1988,novella,http://covers.openlibrary.org/b/id/109147-L.jpg
The Mouse on the Mile,Stephen King,1996,American Horror tales,http://covers.openlibrary.org/b/id/8536463-L.jpg
Apt Pupil,Stephen King,1984,novella,http://covers.openlibrary.org/b/id/106362-L.jpg
Coffey's Hands,Stephen King,1996,Juvenile fiction,http://covers.openlibrary.org/b/id/8443514-L.jpg
